Tweet,mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-negative,NRC-10-positive,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-negative,NRC-10-Expanded-positive,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount
'Not sure if thats an accomplishment or something to worry about',2,1,1,1,2,-3,3.812,-1.005,1.047,-3.055,0,1,0,1,0,1,0,0,1,1,0.505062,0.4785,0.297257,0.532181,0.287381,0.320433,0.275219,0.595613,2.005721,1.117849,0.4378,0.21338,0.292566,0.850518,1.252165,0,0.530508,1.055221,0.491456,-0.375,0,0,1
'@CharlieEblacker hate being shy 😩',0,2,0,1,0,-4,0.207,-2.328,0,-1.992,1,0,1,1,0,1,0,0,1,0,0.155516,0.085464,0.082369,0.126432,0.069181,0.152426,0.064172,0.08318,0.968038,0.144741,0.97807,0,0.49031,0.238975,0,0.055618,0,0,0.0625,-0.5,0,0,0
'#smackdev #ptp #start oh yeah!',0,0,0,0,1,0,0.763,-0.209,1.468,-0.178,0,0,0,0,0,0,0,0,0,0,0.300317,0.211357,0.110682,0.117472,0.273377,0.058857,0.152513,0.136643,0.612137,0.48882,0,0,0,0.225223,0,0,0.002351,0,0,0,0,0,0
'@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.',2,3,0,3,3,-7,2.416,-3.864,1.302,-11.054,2,1,0,2,0,1,0,1,2,1,1.852491,0.571093,0.895547,1.860365,0.380395,1.46202,0.422204,1.04264,4.646514,1.856536,1.738547,0.868469,2.113299,0.553116,0.56219,0.821668,0.180684,2.061045,0.652083,-1.614583,0,0,0
'@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. ',1,2,1,2,2,-5,2.69,-5.208,3.21,-5.77,3,0,2,2,0,3,1,1,2,1,0.880006,0.624801,0.779737,0.908631,0.378388,0.513625,0.271231,0.599917,3.177405,1.319353,1.235718,2.921002,0.873118,0.346045,0.0245,0.160716,0.814469,0,0.95,-2.555654,0,0,0
'I\"m shaking now.',0,0,0,0,0,0,0.603,-1.345,0.289,-0.798,0,0,0,1,0,0,0,0,1,0,0.242613,0.185538,0.180236,0.285027,0.139405,0.127546,0.068755,0.240161,1.149278,0.471867,0.221627,0,0,1.070754,0,0,0,0,0.0625,-0.125,0,0,0
'And they cover these police shootings fairly well they dont want to miss a chance to bully you',3,2,2,2,3,-4,1.895,-10.428,1.562,-10.433,1,0,0,2,0,0,1,3,1,2,1.234882,0.657392,0.910639,1.384588,0.406767,0.970558,0.25926,0.655099,4.082019,1.671741,1.216117,1.026522,3.571286,0.658876,0,2.655704,1.105751,0.301685,2.245054,-0.360615,0,0,1
'“ Less sugar, more fruit.\n Less soda, more water.\n Less worry, more sleep.\n LESS WORDS, MORE ACTION.�?',0,5,0,1,0,-3,4.307,-1.458,3.474,-1.14,1,1,0,1,0,1,0,0,2,2,0.650389,0.60261,0.521089,0.419583,0.659211,0.289979,0.308575,0.767787,3.221122,3.115188,0.514579,0.971723,1.809288,2.752504,0.032962,0,0.101771,0.883688,0.160074,-1.26131,0,0,0
'@Jpennifan OH sorry for your divorce but don\"t worry I will be a good wife then (no reference)',2,3,1,2,3,-5,5.688,-5.528,2.937,-5.087,1,2,1,2,1,2,2,3,2,2,0.883757,0.809461,0.764713,0.787209,0.533105,0.850151,0.397462,0.79909,3.840757,1.920259,0.708225,2.208951,0.747039,1.175676,0.700244,1.631232,0.502453,1.412914,3.084747,-1.197917,0,0,1
'That old lady is cray cray #scared #BellaIsSoCute  #Empire',0,0,0,0,0,0,0.472,-0.175,0.47,-2.211,0,0,0,0,0,0,0,0,0,0,0.186169,0.151059,0.332322,0.304413,0.231772,0.136464,0.113745,0.477419,0.864499,0.79771,0,0.171432,0.95341,2.003101,0,0.000349,0.344136,0.86401,0.231845,0,0,0,0
'Editing a father of the bride speech. At 3 minutes in she tells him to wrap it up. He goes on for 12 more minutes. ',0,0,0,0,0,0,1.937,-3.466,3.043,-2.232,0,1,0,0,1,0,0,2,0,2,1.323527,1.071436,0.927548,1.096794,0.619243,0.508706,0.513853,1.33808,4.03883,2.930402,0.653901,0.248695,0.5989,1.78477,1.712502,0.166936,1.990104,0.340638,0.308036,-0.144048,0,0,0
'@YahooCare data stolen in 2014 and only now do you tell us .',0,1,0,1,0,-2,1.319,-3.226,0.946,-2.739,1,0,0,0,0,0,0,0,1,0,0.559389,0.577864,0.223927,0.419201,0.518435,0.22397,0.387567,0.910897,1.493864,1.740429,1.597932,1.805676,0.088796,0,0,0.371482,0.058726,0.393235,0.064484,-0.084135,0,0,0
'@RyanAbe awe yay thank god I was so worried.',2,1,3,1,3,-3,3.343,-2.819,2.943,-1.089,0,1,0,1,1,1,0,1,1,1,0.173561,0.911574,0.129102,0.156854,1.549211,0.148987,0.485066,0.630896,0.806972,1.629109,0.020153,0,0,1.353169,2.87182,0.330631,1.246431,1.317533,0.260417,-0.8125,0,0,0
'This is the scariest American Horror Story out of all of them... I\"m gonna have to watch in the daytime. ',0,2,0,1,0,0,1.749,-3.52,1.167,-4.725,1,1,1,2,0,1,1,0,1,0,1.215191,0.925142,1.410234,1.574214,0.583196,0.812847,0.510836,0.803123,5.137117,2.052419,0.265312,1.579169,0.338557,2.60873,0,0.057564,0.336897,0,0.667844,-1.117018,0,0,0
'@BuzzFeed so this houses will get into my instestines and scare my poop and I\"ll shit my pants?',1,1,0,2,0,-6,1.435,-4.666,2.624,-3.782,2,1,1,1,0,0,1,0,2,0,0.8063,0.871033,0.653759,0.7872,0.483768,0.346173,0.315787,0.585567,3.503381,1.437444,0.707503,0.220442,1.937888,1.790029,0,0,0.26357,1.097291,0.23659,-0.8375,0,0,0
'Late night #thoughts. Feeling .',0,0,0,0,1,0,0.19,-1.473,2.12,-0.12,1,1,1,1,1,2,1,1,2,1,0.09252,0.049736,0.091399,0.078445,0.030379,0.047525,0.020092,0.032641,0.496854,0.119181,0.278285,0.158037,0,0.875001,1.359941,0.208482,0.125674,0,0,-0.222917,0,0,0
'The terror threat level really need to be raised',0,2,0,2,0,-5,0.77,-1.74,0.332,-1.885,1,0,0,2,0,0,0,1,2,1,0.389953,0.30078,0.311906,0.313446,0.133459,0.183601,0.169295,0.209279,1.378166,0.558783,0.270269,0.401267,0.460536,2.75205,0,0.100319,0.179001,0.066067,0.625,-0.8875,0,0,0
'You have a #problem? Yes! Can you do #something about it? No! Than why ',1,0,0,0,1,-1,4.05,-2.153,3.705,-10.391,0,0,0,0,0,0,0,0,0,0,0.983789,0.934634,1.066354,0.757602,1.119956,0.513678,0.570667,1.076748,4.160025,2.752312,1.340511,0.169779,0.654699,0.156123,0.258331,0.150833,0.183105,0.332915,0.308469,-0.448718,0,0,1
'@davidpreece12 @FitbaHacks Great defender, terrible positioning. Didn\"t know where he should be without Russel shouting at him for 90 mins',2,1,2,1,5,-3,3.166,-6.254,2.655,-12.504,1,0,1,1,0,1,0,1,1,1,1.638591,0.997736,0.730565,1.378303,1.205536,0.915464,0.703802,1.790267,4.292876,3.511308,1.289609,0.287013,0.42234,0.522165,1.052367,0.594942,1.038723,0.138696,0.961963,-1.014583,0,0,0
'#panic Panic attack from fear of starting new medication',0,3,0,3,0,-6,0.685,-2.849,1.742,-0.224,2,0,0,3,0,0,0,0,3,0,0.157104,0.339328,0.054034,0.160031,0.136415,0.07263,0.090959,0.211586,0.550842,0.671331,0,0.480973,0,8.431232,0.524473,0,0.044807,0,0.306548,-1.826389,0,0,0
'@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military',0,1,1,1,0,-2,2.121,-3.232,2.472,-3.694,1,0,1,1,0,0,0,0,1,0,1.145582,0.233467,0.756206,1.333539,0.140801,1.001965,0.216003,0.362853,3.249574,0.552311,1.546306,1.191542,0.993645,2.035071,0.496138,0,0.255519,0,0.347,-1.245833,0,0,2
'An @amityaffliction kind of drive home from work today  #dailyfeels',2,0,1,0,2,0,0.497,-1.631,1.881,-0.108,0,0,0,0,1,0,0,1,0,1,0.155904,0.310153,0.0545,0.173232,0.171863,0.107122,0.113724,0.354629,0.500674,0.647079,0.340623,0.055879,0.187323,0.23833,0.676172,0.402393,0.620052,0,1.152761,-0.0625,0,0,0
'♪OLD FISH ',0,0,0,0,0,0,0,-0.103,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153147,0.682361,0,0,0,0,0,0,-0.125,0,0,0
'Rojo is a terrible defender',1,1,1,1,2,-3,1.794,-2.054,0.136,-3.532,1,0,1,1,0,1,0,1,1,1,0.054106,0.05189,0.10059,0.057276,0.05003,0.035292,0.027234,0.055743,0.343046,0.189794,0.024347,0,0.330105,0,0,0.31214,0.00592,0,0,-0.889583,0,0,0
'Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful 😖👺🙅',1,2,1,2,2,-6,2.113,-6.349,1.818,-10.395,1,1,2,2,1,1,1,1,4,1,0.688245,0.539547,0.668027,0.674122,0.414115,0.320639,0.293072,0.885201,2.685859,1.780719,1.023519,0,3.185995,0.095761,0.357857,1.583582,0.100484,0.360988,0.48659,-1.902083,0,0,0
'This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.',0,0,0,0,0,0,2.579,-1.701,3.891,-5.886,0,2,0,0,1,0,0,0,0,1,0.8074,0.753865,0.445199,0.858409,0.481835,0.382291,0.326247,1.004826,2.444701,1.738499,0,0.659429,1.524102,0.965108,2.160191,0.888948,2.189992,2.002949,0.09375,-0.041667,0,0,0
'@hotpatooties more like quickie divorce #awful',1,1,1,0,2,0,2.548,-1.979,0.883,-7.475,1,0,1,1,0,1,1,1,1,0,0.321872,0.175744,0.444222,0.407233,0.149485,0.16411,0.198519,0.164467,0.971973,0.548234,0,0.997787,1.368177,0,0,1.209043,0,0,0.76875,0,0,0,0
'Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney',1,0,0,0,0,0,0.875,-3.809,0.986,-11.177,0,0,0,0,0,0,0,0,0,0,1.193712,0.845037,0.899485,1.071412,0.455428,1.043439,0.498362,0.534942,2.959227,1.301628,0.141735,0.214607,1.75963,2.224055,0.162405,2.40391,0.276817,0.529226,0.183469,-0.375,0,0,0
'@SimplyMayaMarie @STILLStanding_B 😂😂😂 y\"all know I\"m crazy its just shocking that\"s all',1,2,0,2,0,-4,1.961,-1.586,0.283,-4.758,1,0,0,1,0,1,0,0,1,0,1.445794,0.564327,1.130138,1.279898,0.461668,0.629014,0.769676,0.756975,4.377923,1.279751,0,0.228654,0.784342,0,0,0,0.285929,0,2.108987,-0.570833,0,0,0
'Crossword puzzle is oat meals solitary respecting the flat out portentous nutrient rootstock re scruple failur...',0,1,0,0,0,0,1.681,-2.282,2.372,-3.058,0,0,0,0,0,0,0,0,0,1,0.290038,0.51406,0.345531,0.295476,0.372067,0.111771,0.18085,0.391346,1.365812,1.030688,0.36848,0.117215,0.626168,0.099539,0.584887,0,0.435119,0,0.75,-1.211972,0,0,0
'@priorJoan @MizQue \nActually pretty typical of trump supporters\nThis kid learned birtherism in school\nThat\"s horrific',4,1,2,1,2,-3,2.838,-2.49,0.699,-4.888,1,1,1,1,1,1,1,2,1,1,0.592544,0.289344,0.703482,0.632078,0.173156,0.348306,0.251185,0.346573,2.472609,0.835147,0,1.36011,3.608434,0.481974,0,0,2.13477,0.431393,0.958333,-0.808333,0,0,0
'@CGasparino Give it up Gas, I don\"t hate u, I just don\"t respect ur rudeness. #bully',2,1,1,1,2,-3,3.276,-4.615,0.667,-14.636,1,1,1,1,1,1,0,3,1,3,1.193116,0.570992,1.186419,1.010094,0.469519,0.569339,0.497755,0.869728,4.664136,1.783666,1.558894,0,4.253183,0.339817,0,1.12197,0,1.228547,2.294792,-0.927664,0,0,0
'@60DaysInJail Dafron is hands down the biggest loser on the planet!!! Typical #bully #lifer',0,2,0,1,0,-3,1.18,-1.148,0.806,-4.466,0,0,0,0,0,0,0,0,0,0,1.010183,0.462034,1.029606,0.798907,0.280522,0.585907,0.332002,0.272301,3.259193,0.591106,0.05878,0.70589,3.337253,0.300919,0,1.914057,0.188317,0.401226,0.229167,-0.55754,0,0,0
'@CurtisJobling Yes indeed! We know masses of students would be so excited to see you! We need to get this sorted! #haunt',2,0,1,0,4,0,6.419,-1.416,3.697,-2.758,0,1,0,0,1,0,1,1,0,1,0.96881,1.897455,0.481885,0.810427,1.874761,0.363706,1.101941,1.622963,3.095471,5.032091,0.635581,2.099498,0.11168,1.555921,1.028068,0.182406,0.151627,1.185493,0.787095,-0.158333,0,0,0
'Has anyone else had a bad experience with Poundstretcher? #nightmare firm',0,1,0,1,0,-3,1.478,-2.441,1.338,-5.112,1,0,1,1,0,1,0,0,1,0,0.271564,0.182114,0.286752,0.282736,0.135247,0.131544,0.161488,0.310102,1.268399,0.540505,0.148015,0.227418,0.801181,1.833857,0.643671,0.256621,0.41569,0.055878,0.014701,-1.961746,0,0,0
'im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint',1,3,1,3,2,-5,1.476,-6.896,1.789,-2.822,2,1,0,2,0,2,0,0,3,0,1.252513,0.697034,1.061838,1.217224,0.574859,1.097836,0.513193,0.842275,4.24017,1.56579,0.420398,0.634825,0.538452,3.972517,0,1.639702,0.95855,0,0.8375,-1.69246,0,0,0
'@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼�? ',0,1,0,1,0,-2,0.232,-2.477,1.266,-2.022,0,1,0,1,0,0,0,0,1,0,0.473147,0.345093,0.437683,0.516927,0.254899,0.436145,0.31448,0.297944,2.209159,0.994593,0.047555,0.883816,0.117342,1.941587,0,0,0.265314,0.0047,0.233469,-0.625,0,0,1
'I really want to go for fright night but I really don\"t �?',1,1,0,1,1,-2,1.012,-4.862,0.791,-5.561,0,0,0,1,0,0,1,1,1,1,0.940298,0.639841,0.51158,0.747206,0.283464,0.55789,0.314723,0.533022,3.488038,1.5207,0.705576,0.061206,0.103354,1.262742,0.348808,0.236546,0.440577,0,1.371607,-0.5625,0,0,0
'#GADOT please put a left turn signal at Williams and Ivan Allen Jr Blvd. This is absolutely ridiculous #ATLtraffic #horrible',1,1,0,1,1,-3,2.392,-3.352,1.979,-6.808,1,0,1,0,0,0,0,0,1,0,0.493049,0.529648,0.323389,0.40388,0.629937,0.221002,0.250994,1.240349,1.514193,2.437609,1.836584,1.59715,2.801684,0.844124,0.457493,0.643646,0.854096,0,1.077764,-0.208333,0,0,0
'Wine drunk is the worst version of myself ffs, don\"t even remember seeing basshunter ',1,2,0,2,0,-5,2.298,-4.44,4.693,-5.774,0,0,0,0,0,0,0,1,0,1,1.324759,0.423112,1.607376,1.287621,0.318645,1.002067,0.413845,0.419262,5.086984,0.854665,1.528252,0.637364,1.102727,0.328672,0.934383,0.442294,0.638266,0,0.500298,-1.760417,0,0,0
'As #life gets longer, #awful feels #softer, well it #feels pretty soft to me. #modestmouse @modestmouseband',2,0,3,0,1,0,2.981,-2.172,6.484,-6.974,0,1,0,0,1,0,0,1,0,1,0.600053,0.768927,0.425211,0.532562,0.551184,0.470983,0.312857,0.751554,2.640358,1.910373,0.328899,0,1.239388,0.106902,2.266996,2.15096,1.272112,2.36266,1.560053,-0.174375,0,0,0
'in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat',1,2,0,1,1,-2,0.405,-4.25,1.146,-3.516,1,0,0,1,0,1,0,0,1,0,0.586822,0.387316,0.445615,0.49872,0.227483,0.39894,0.136734,0.309192,2.437941,0.770478,0.746874,0.381784,0.657009,0.347037,0.237525,0.427997,0.777246,0,0.083631,-0.666667,0,0,0
'Do not #worry about anything but #pray about everything.',0,0,0,0,0,0,0,-1.931,0.791,-2.896,0,0,0,0,0,0,0,0,0,0,0.889757,0.443208,0.581129,0.9478,0.268699,0.83491,0.276978,0.575996,3.161177,0.906719,0.26723,0.339558,0,1.712027,0.544661,1.290034,0.087037,2.063867,0.25,-0.334135,0,0,1
'#Success awaits on the other side of your #fear &amp; that\"s only in your#head-JesusChristEmpowersRightThinking-ASK #fitness #weightlifting',0,0,0,0,0,-1,2.736,-0.619,7.67,-3.631,0,0,0,0,0,0,0,0,0,0,0.781114,1.165018,0.827798,0.938122,0.924516,0.362018,0.440292,1.032652,3.006193,2.648476,0.082786,0.925292,0.507251,2.269241,3.06966,0.105699,0.186559,0,0.041667,-0.469697,0,0,0
'Didn\"t concede yet but having a nightmare at the back #MUFC',1,2,0,2,0,0,1.56,-4.336,0.924,-4.146,0,0,0,1,0,0,0,0,1,0,0.689128,0.437526,0.54984,0.625885,0.243554,0.427405,0.22616,0.52471,2.59279,1.114754,0.739583,1.214563,0,1.489531,0,0.128261,0.616058,0,0.322917,-0.230655,0,0,0
'My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. 🙅�?�😳',0,1,0,3,1,-8,1.261,-4.471,2.614,-3.547,2,1,1,1,0,0,1,0,2,0,1.136922,0.822635,0.937036,1.034751,0.738192,0.724999,0.528202,1.110835,4.295676,1.996257,1.215974,0.270625,1.248285,1.793915,1.113538,0.287744,0.400596,0.632964,0.104167,-1.630114,0,0,1
'Everybody\"s worried about stopping #terrorism. Well, there\"s a really easy way: stop participating in it. -  Noam Chomsky',2,1,2,1,1,-5,4.897,-2.727,1.89,-4.3,0,0,0,0,0,1,0,0,1,0,1.636689,0.927248,1.169607,1.714414,0.664699,0.946556,0.51704,1.567596,5.193982,3.027871,0.727536,0.169779,0.917363,4.088651,0.030706,0.06882,0.560884,0.883679,2.659525,-0.764994,0,0,0
'@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄',0,3,0,3,0,-6,0.962,-3.44,1.236,-3.301,1,1,0,1,0,1,0,0,2,0,0.595427,0.441102,0.387717,0.468307,0.314844,0.292752,0.359642,0.404715,2.262687,0.782516,0.383458,0,0.627567,1.852815,0.27585,0,0.561784,0.287435,0.058469,-3.005357,0,0,0
'@sethwieck you should do a TED Talk on \"bubledygook\"! I\"m sure you could convince the masses to distrust those decrying TED Talks!',2,1,0,1,1,-3,7.152,-1.262,3.77,-4.854,1,1,1,1,0,0,0,1,1,2,1.061954,1.241163,0.883327,1.142696,1.246707,0.403411,0.48624,1.440061,4.145076,3.552846,0.571397,1.702643,0.589296,0.48527,0,0.872827,0.722659,0.551122,0.447706,-0.771635,0,0,0
'@MobilePunch  alarming',0,1,0,1,0,0,0,0,0,-4.999,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0
'Saga: When all of your devices and teles fail just in time for bake off  #gbbo',1,1,0,1,0,-2,2.745,-1.654,3.47,-0.658,0,1,0,0,0,0,0,0,0,0,0.837637,0.61118,0.41855,0.577421,0.426758,0.614099,0.47662,0.682091,2.489929,1.647263,0.879231,0.061206,0.173706,0.386149,0.269877,1.465806,1.750044,0.800306,1.565774,-1.546532,0,0,0
'@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?',0,2,0,2,0,-5,2.528,-2.138,1.371,-10.43,3,0,1,3,0,2,0,0,3,0,0.732496,0.713676,0.865303,0.854425,0.441667,0.333343,0.346532,0.730496,3.356815,2.019118,0.37228,0.778565,1.411773,1.610417,0.431013,0.337851,0.058726,0.058038,0.16369,-0.186218,0,0,0
'@jk_rowling @Riverfeather207 Donald Trump in the White House ',2,0,1,0,0,0,1.346,-0.255,0.999,-1.264,0,1,0,0,1,0,1,1,0,1,0.185057,0.131584,0.22677,0.225675,0.060353,0.056328,0.047311,0.246933,0.574196,0.383843,0.124506,0.752443,1.465996,0,0,0,0.098114,0,0.050694,0,0,0,0
'@FaithHill I remember it well #happy  #Positive',1,0,1,0,0,0,2.512,-0.44,5.556,-1.027,0,0,0,0,0,0,0,0,0,0,0.149413,0.476976,0.155148,0.15586,0.771617,0.147916,0.251076,0.283949,0.91358,1.042788,0.024281,0,0,0.043607,3.899471,0.26452,0.149769,0.946158,1.736243,-0.125,0,0,0
'I always dread Wednesday\"s and the always end up making me the happiest',0,1,0,1,3,-2,2.5,-1.948,3.027,-1.7,0,1,0,1,0,0,0,0,1,0,0.783169,0.869949,0.76756,0.904743,1.082001,0.390659,0.420176,1.039718,2.680535,2.180265,0.715772,0.291568,0.270984,1.568149,1.779538,0.0907,0,0.478882,0.266369,-0.895833,0,0,0
'However the agent was inauthentic, my sister still loves me, &amp; I\"m still alive. So I guess it wasn\"t that bad. #socialanxiety #anxiety',0,1,1,1,4,-3,3.596,-5.592,2.321,-5.923,1,1,1,1,1,1,1,1,1,1,1.269231,0.806801,1.293909,1.450592,1.07413,0.780755,0.499981,1.417646,6.129795,2.739825,0.601211,0.650513,0.302954,4.065124,0.681101,0.356008,2.105886,0.499216,0.774702,-3.968889,0,0,0
'Sir, my concern is not whether God is on our side; my greatest concern is to be on God\"s side, for God is always right.\" - Abraham Lincoln',2,2,2,2,6,0,8.386,-2.644,7.523,-2.099,0,3,0,3,3,0,0,4,0,4,1.313779,0.975371,0.764019,1.490622,0.769362,0.746165,0.48054,1.868982,4.951832,3.575612,0.567733,2.090986,0,0.668692,3.641348,0,2.475114,3.252284,1.871262,-0.376894,0,0,1
'It appears my fire alarm disapproves of my cooking style',0,1,0,1,0,-6,1.551,-2.519,3.646,-0.122,0,0,0,2,0,0,1,0,1,0,0.36415,0.170838,0.265644,0.283973,0.083845,0.137182,0.112287,0.156474,1.548775,0.268214,0.846543,0.67507,0,0.978137,0.222374,0,0.595098,0,0.109375,-0.116865,0,0,0
'Hahahah what a horrific penalty from bayer. 5 feet wide. Jesus',1,2,0,2,4,-5,1.589,-2.988,1.762,-4.344,2,0,1,2,0,2,0,0,2,0,0.441449,0.402968,0.53755,0.554867,0.461946,0.226122,0.260101,0.868791,1.903978,1.407673,0.74329,0.500533,2.617579,0.455311,0.854283,0,0.172245,0.37029,0.109375,-0.972917,0,0,0
